,DEPCOM,COM,SUPERFICIE,PMUN
0,55050,BEZONVAUX,926.0,0.0
1,55039,BEAUMONT-EN-VERDUNOIS,784.0,0.0
2,55239,HAUMONT-PRES-SAMOGNEUX,1091.0,0.0
3,55139,CUMIERES-LE-MORT-HOMME,613.0,0.0
4,55307,LOUVEMONT-COTE-DU-POIVRE,836.0,0.0
5,55189,FLEURY-DEVANT-DOUAUMONT,1036.0,0.0
6,26274,ROCHEFOURCHAT,1270.0,1.0
7,04107,MAJASTRES,3024.0,2.0
8,54310,LEMENIL-MITRY,348.0,3.0
9,11147,FONTANES-DE-SAULT,555.0,4.0
10,31127,CAUBOUS,399.0,4.0
11,26030,LA BATIE-DES-FONDS,1156.0,5.0
12,80270,EPECAMPS,166.0,5.0
13,31559,TREBONS-DE-LUCHON,91.0,6.0
14,80528,MEREAUCOURT,306.0,6.0
15,55394,ORNES,1864.0,6.0
16,55164,DOUAUMONT,601.0,8.0
17,25573,URTIERE,217.0,8.0
18,57470,MOLRING,325.0,8.0
19,11082,CAUNETTE-SUR-LAUQUET,511.0,8.0
20,65349,OURDON,285.0,8.0
21,51470,ROUVROY-RIPONT,1170.0,8.0
22,52109,CHARMES-EN-L'ANGLE,739.0,8.0
23,09287,SENCONAC,460.0,9.0
24,26150,IZON-LA-BRUISSE,1464.0,9.0
25,31081,BOURG-D'OUEIL,965.0,9.0
26,25134,CHATILLON-SUR-LISON,286.0,10.0
27,26018,AULAN,1073.0,10.0
28,25533,SARAZ,589.0,10.0
29,11135,LA FAJOLLE,1579.0,10.0
30,2B106,ERONE,395.0,10.0
31,83147,VERIGNON,3665.0,10.0
32,05066,LA HAUTE-BEAUME,719.0,10.0
33,31046,BAREN,306.0,10.0
34,54516,THEY-SOUS-VAUDEMONT,166.0,11.0
35,65023,ARDENGOST,580.0,11.0
36,39324,MERONA,291.0,11.0
37,21402,MENESBLE,558.0,11.0
38,38286,OULLES,1448.0,12.0
39,25130,CHATEAUVIEUX-LES-FOSSES,447.0,12.0
40,72214,NAUVAY,275.0,12.0
41,88288,MARONCOURT,227.0,12.0
42,30074,CAUSSE-BEGON,762.0,12.0
43,31146,CIRES,491.0,12.0
44,05094,NOSSAGE-ET-BENEVENT,434.0,12.0
45,55140,CUNEL,465.0,13.0
46,26017,AUCELON,2668.0,13.0
47,51034,BANNAY,716.0,13.0
48,52157,CURMONT,299.0,13.0
49,26351,LES TONILS,1307.0,13.0
50,65134,CASTERETS,184.0,13.0
51,02735,TANNIERES,255.0,13.0
52,66128,OREILLA,1648.0,13.0
53,04191,SAINT-MARTIN-LES-SEYNE,1229.0,13.0
54,09088,CAYCHAX,565.0,13.0
55,65180,FRECHET-AURE,345.0,13.0
56,11389,TERROLES,690.0,14.0
57,31465,SACCOURVIELLE,341.0,14.0
58,52004,AINGOULAINCOURT,513.0,14.0
59,2B321,TARRANO,389.0,15.0
60,62210,CANTELEUX,350.0,15.0
61,65379,RIS,187.0,15.0
62,39585,VULVOZ,441.0,15.0
63,55033,BAULNY,394.0,15.0
64,57682,TURQUESTEIN-BLANCRUPT,3037.0,16.0
65,2B015,AMPRIANI,232.0,16.0
66,21471,ORRET,1141.0,16.0
67,11062,CAMPAGNA-DE-SAULT,1079.0,16.0
68,08300,LE MONT-DIEU,1884.0,16.0
69,66047,CAUDIES-DE-CONFLENT,656.0,16.0
70,2B216,PIAZZALI,79.0,17.0
71,63169,LA GODIVELLE,1545.0,17.0
72,2B156,MAUSOLEO,1946.0,17.0
73,65443,THUY,54.0,17.0
74,11402,VALMIGERE,604.0,17.0
75,18202,SAINT-CEOLS,334.0,17.0
76,38008,AMBEL,489.0,18.0
77,2B053,CAMPI,488.0,18.0
78,26242,LE POET-EN-PERCIP,616.0,18.0
79,52546,VONCOURT,349.0,18.0
80,65068,BARTHE,138.0,18.0
81,65309,MAZOUAU,140.0,18.0
82,11374,SALZA,851.0,18.0
83,2B052,CAMPANA,236.0,18.0
84,2B221,PIEDIPARTINO,333.0,18.0
85,39343,MONNETAY,251.0,18.0
86,31195,FRANCAZAL,550.0,18.0
87,55344,MONTBRAS,547.0,18.0
88,21197,CORPOYER-LA-CHAPELLE,415.0,18.0
89,31549,SODE,545.0,19.0
90,65208,GRAILHEN,583.0,19.0
91,21303,LES GOULLES,883.0,19.0
92,11265,NIORT-DE-SAULT,2208.0,19.0
93,55055,BLANZEE,345.0,19.0
94,26090,LA CHAUDIERE,1236.0,19.0
95,18222,SAINTE-LUNAISE,1406.0,19.0
96,62396,GUINECOURT,225.0,19.0
97,66086,GLORIANES,1880.0,19.0
98,76428,LE MESNIL-DURDENT,132.0,19.0
99,09034,BALACET,214.0,19.0
100,26245,POMMEROL,1006.0,19.0
101,80389,GRECOURT,238.0,20.0
102,11391,LA TOURETTE-CABARDES,522.0,20.0
103,09053,BESTIAC,646.0,20.0
104,88060,BLEMEREY,250.0,20.0
105,09311,TIGNAC,366.0,20.0
106,09156,LARNAT,562.0,20.0
107,10411,LA VILLE-AUX-BOIS,557.0,20.0
108,04009,ARCHAIL,1293.0,20.0
109,52002,AIGREMONT,488.0,20.0
110,26255,LES PRES,1628.0,20.0
111,02129,BRUYS,565.0,20.0
112,09134,GESTIES,2730.0,21.0
113,01019,ARMIX,695.0,21.0
114,31242,JURVIELLE,591.0,21.0
115,52219,GERMISAY,666.0,21.0
116,26227,PELONNE,282.0,21.0
117,88374,RAPEY,294.0,21.0
118,2B013,ALZI,272.0,21.0
119,66219,URBANYA,1394.0,21.0
120,21055,BEAUNOTTE,853.0,21.0
121,65038,ARTIGUES,140.0,21.0
122,09317,UCHENTEIN,405.0,21.0
123,09133,GENAT,825.0,21.0
124,55103,CHARPENTRY,438.0,21.0
125,38031,BEAUFIN,650.0,22.0
126,2B234,PIOBETTA,504.0,22.0
127,57292,HANNOCOURT,423.0,22.0
128,2B256,RAPAGGIO,257.0,22.0
129,02609,PLOYART-ET-VAURSEINE,494.0,22.0
130,65140,CAZAUX-DEBAT,159.0,22.0
131,26147,GUMIANE,886.0,22.0
132,89207,JOUANCY,599.0,22.0
133,38241,MONESTIER-D'AMBEL,1116.0,22.0
134,65102,BOUILH-DEVANT,298.0,22.0
135,55536,VAUQUOIS,817.0,22.0
136,09143,ILLIER-ET-LARAMADE,518.0,22.0
137,28315,REVERCOURT,548.0,22.0
138,26254,PRADELLE,1304.0,22.0
139,43260,LE VERNET,395.0,22.0
140,11219,MARSA,1993.0,23.0
141,21672,VESVRES,412.0,23.0
142,34231,ROMIGUIERES,351.0,23.0
143,62605,NEULETTE,143.0,23.0
144,24384,SAINT-CASSIEN,472.0,23.0
145,15247,VALJOUZE,299.0,23.0
146,52549,VRONCOURT-LA-COTE,424.0,23.0
147,39428,PLENISETTE,272.0,23.0
148,2B339,VALLICA,1215.0,23.0
149,58169,MOISSY-MOULINOT,292.0,23.0
150,31068,BILLIERE,219.0,23.0
151,26286,ROUSSIEUX,956.0,23.0
152,52159,CUVES,543.0,23.0
153,52137,COLMIER-LE-BAS,606.0,23.0
154,09195,MONESPLE,613.0,23.0
155,80027,ARMANCOURT,212.0,23.0
156,09260,SAINTE-FOI,247.0,23.0
157,10105,COURCELLES-SUR-VOIRE,493.0,23.0
158,09197,MONTAILLOU,886.0,24.0
159,26375,VILLEFRANCHE-LE-CHATEAU,740.0,24.0
160,70437,RANZEVELLE,238.0,24.0
161,23034,BROUSSE,364.0,24.0
162,95611,THEUVILLE,501.0,24.0
163,09304,SUZAN,241.0,24.0
164,21157,CHAUGEY,683.0,24.0
165,65359,PEYRIGUERE,424.0,24.0
166,09286,SEM,526.0,24.0
167,43009,ARLET,584.0,24.0
168,2B214,PIANO,340.0,24.0
169,65122,CAMOUS,345.0,24.0
170,26374,VILLEBOIS-LES-PINS,1083.0,24.0
171,10183,JUVANZE,497.0,25.0
172,05035,CHATEAUNEUF-D'OZE,2665.0,25.0
173,11223,MAS-DES-COURS,749.0,25.0
174,55270,LAHAYVILLE,402.0,25.0
175,2B137,LANO,827.0,25.0
176,26283,ROTTIER,838.0,25.0
177,21123,BUXEROLLES,1177.0,25.0
178,09263,SAINT-JEAN-DU-CASTILLONNAIS,477.0,25.0
179,58202,OUGNY,816.0,25.0
180,52085,BUXIERES-LES-CLEFMONT,598.0,25.0
181,89049,BOIS-D'ARCY,348.0,25.0
182,31064,BENQUE-DESSOUS-ET-DESSUS,372.0,25.0
183,11354,SAINT-MARTIN-DES-PUITS,712.0,25.0
184,09162,LERCOUL,1943.0,25.0
185,11229,MAZUBY,884.0,25.0
186,30213,REVENS,1400.0,25.0
187,88518,VIVIERS-LES-OFFROICOURT,452.0,25.0
188,70375,MOTEY-SUR-SAONE,293.0,26.0
189,65034,ARRODETS,97.0,26.0
190,2B194,ORTALE,421.0,26.0
191,25072,BONNAL,171.0,26.0
192,31129,CAZARILH-LASPENES,243.0,26.0
193,04050,CHATEAUFORT,1388.0,26.0
194,50587,TAILLEPIED,217.0,26.0
195,2B157,MAZZOLA,658.0,26.0
196,10273,ORTILLON,806.0,26.0
197,38549,VILLARD-NOTRE-DAME,1415.0,26.0
198,51255,FONTAINE-EN-DORMOIS,529.0,26.0
199,26296,SAINT-BENOIT-EN-DIOIS,1122.0,26.0
200,26228,PENNES-LE-SEC,908.0,26.0
201,65118,CAHARET,121.0,26.0
202,26012,ARNAYON,1969.0,26.0
203,65402,SAMURAN,254.0,26.0
204,65167,ESPIEILH,212.0,26.0
205,83022,BRENON,577.0,26.0
206,39221,LA FAVIERE,275.0,26.0
207,26076,CHARENS,1295.0,26.0
208,66157,RAILLEU,1021.0,26.0
209,09152,LAPEGE,839.0,26.0
210,81184,MONTROSIER,346.0,27.0
211,08471,VERRIERES,640.0,27.0
212,11094,CLERMONT-SUR-LAUQUET,1872.0,27.0
213,65364,PINTAC,156.0,27.0
214,95141,CHARMONT,360.0,27.0
215,11160,GALINAGUES,426.0,27.0
216,50571,SEBEVILLE,286.0,27.0
217,09325,VAYCHIS,458.0,27.0
218,52540,VITRY-EN-MONTAGNE,972.0,27.0
219,09072,CALZAN,406.0,27.0
220,88392,ROCOURT,185.0,27.0
221,26267,RIOMS,956.0,27.0
222,65163,ESCOTS,408.0,28.0
223,65469,VIEY,605.0,28.0
224,11414,VILLAR-EN-VAL,1188.0,28.0
225,76512,PUISENVAL,491.0,28.0
226,15067,LE FAU,1946.0,28.0
227,57657,SOTZELING,365.0,28.0
228,80026,ARGUEL,258.0,28.0
229,83020,LE BOURGUET,2531.0,28.0
230,61225,LIGNERES,541.0,28.0
231,09172,LOUBAUT,235.0,28.0
232,09222,ORUS,906.0,28.0
233,21136,CHAMPAGNY,719.0,28.0
234,31015,ARGUT-DESSOUS,275.0,28.0
235,52503,VALLEROY,345.0,28.0
236,25501,RONDEFONTAINE,277.0,28.0
237,66191,SANSA,2311.0,28.0
238,25401,MONTIVERNAGE,330.0,28.0
239,80697,SAINT-ACHEUL,305.0,28.0
240,65171,ESTARVIELLE,82.0,28.0
241,52342,MORIONVILLIERS,683.0,28.0
242,21144,CHARENCEY,472.0,28.0
243,09069,BUZAN,863.0,28.0
244,2B364,ZUANI,519.0,29.0
245,65203,GEZ-EZ-ANGLES,244.0,29.0
246,2B063,CARCHETO-BRUSTICO,522.0,29.0
247,26209,MONTREAL-LES-SOURCES,1045.0,29.0
248,2B202,PARATA,282.0,29.0
249,65157,ENS,348.0,29.0
250,10078,CHAMP-SUR-BARSE,709.0,29.0
251,66232,VIRA,1300.0,29.0
252,55555,VILLE-DEVANT-BELRAIN,620.0,29.0
253,31335,MAYREGNE,523.0,29.0
254,02044,BANCIGNY,336.0,29.0
255,26123,ESTABLET,1269.0,29.0
256,11230,MERIAL,1668.0,29.0
257,23055,CHATELARD,247.0,30.0
258,02087,BIEUXY,452.0,30.0
259,41121,LA MADELEINE-VILLEFROUIN,974.0,30.0
260,77304,MONTENILS,527.0,30.0
261,21097,BOUSSEY,561.0,30.0
262,26152,JONCHERES,1633.0,30.0
263,2B241,POGGIO-MARINACCIO,287.0,30.0
264,26130,EYROLES,871.0,30.0
265,65266,LASSALES,249.0,30.0
266,2B067,CARPINETO,246.0,30.0
267,54412,OTHE,301.0,30.0
268,31019,ARTIGUE,979.0,30.0
269,39359,MONTMARLON,339.0,30.0
270,51280,GRATREUIL,479.0,30.0
271,2B005,ALANDO,310.0,30.0
272,71125,CHERIZET,287.0,30.0
273,52214,LA GENEVROYE,280.0,30.0
274,07144,LOUBARESSE,913.0,30.0
275,2A158,MELA,464.0,30.0
276,54074,BIENVILLE-LA-PETITE,177.0,30.0
277,11224,MASSAC,1234.0,30.0
278,28268,MORAINVILLE,389.0,30.0
279,10044,BETIGNICOURT,325.0,31.0
280,55436,LES ROISES,383.0,31.0
281,05051,ETOILE-SAINT-CYRICE,1437.0,31.0
282,09083,CASTERAS,184.0,31.0
283,60283,GOUY-LES-GROSEILLERS,299.0,31.0
284,52012,ANNONVILLE,619.0,31.0
285,50171,ECULLEVILLE,239.0,31.0
286,26075,LA CHARCE,941.0,31.0
287,08325,NOIRVAL,493.0,31.0
288,80085,BERNATRE,462.0,31.0
289,21694,VILLEFERRY,327.0,31.0
290,2B116,FOCICCHIA,727.0,31.0
291,11277,PECHARIC-ET-LE-PY,594.0,31.0
292,26266,RIMON-ET-SAVEL,1212.0,31.0
293,43252,VARENNES-SAINT-HONORAT,1188.0,31.0
294,25161,CONSOLATION-MAISONNETTES,425.0,31.0
295,11358,SAINT-MARTIN-LYS,1025.0,31.0
296,05155,SAINT-PIERRE-AVEZ,1182.0,31.0
297,88493,VARMONZEY,260.0,31.0
298,31040,BACHOS,261.0,31.0
299,58237,SAINT-DIDIER,359.0,31.0
300,52005,AIZANVILLE,350.0,31.0
301,65204,GONEZ,115.0,31.0
302,64531,TABAILLE-USQUAIN,440.0,31.0
303,52216,GERMAINES,869.0,31.0
304,21602,SEMOND,605.0,31.0
305,02222,COURBES,318.0,32.0
306,09012,APPY,614.0,32.0
307,14013,ANGOVILLE,373.0,32.0
308,23019,BEISSAT,1467.0,32.0
309,21052,BEAULIEU,659.0,32.0
310,65381,SABARROS,369.0,32.0
311,34072,CELLES,761.0,32.0
312,66209,THUES-ENTRE-VALLS,2046.0,32.0
313,21141,CHAMPRENAULT,416.0,32.0
314,65179,FRECHENDETS,202.0,32.0
315,78606,LE TARTRE-GAUDRAN,435.0,32.0
316,25570,TRESSANDANS,235.0,32.0
317,26359,VACHERES-EN-QUINT,524.0,32.0
318,09297,SOR,109.0,32.0
319,88265,LEMMECOURT,185.0,32.0
320,66102,MANTET,3225.0,32.0
321,09330,VERNAUX,610.0,32.0
322,48197,LA VILLEDIEU,2321.0,32.0
323,65450,TRAMEZAIGUES,3508.0,32.0
324,11271,PALAIRAC,1843.0,32.0
325,02380,HINACOURT,313.0,32.0
326,88107,CLEREY-LA-COTE,322.0,32.0
327,55048,BETHINCOURT,1324.0,32.0
328,2B164,MONACIA-D'OREZZA,466.0,32.0
329,54124,CHAZELLES-SUR-ALBE,349.0,32.0
330,21100,BRAIN,414.0,32.0
331,02251,CUIRY-LES-IVIERS,488.0,32.0
332,65066,BARRANCOUEU,382.0,32.0
333,25402,MONTJOIE-LE-CHATEAU,539.0,33.0
334,11395,TRASSANEL,453.0,33.0
335,57653,SILLY-EN-SAULNOIS,233.0,33.0
336,65347,OURDE,565.0,33.0
337,16356,SAINT-SULPICE-DE-RUFFEC,240.0,33.0
338,55311,MAIZERAY,386.0,33.0
339,10337,SAINT-CHRISTOPHE-DODINICOURT,497.0,33.0
340,39204,DRAMELAY,668.0,33.0
341,65278,LOMNE,297.0,33.0
342,55162,DOMREMY-LA-CANNE,305.0,33.0
343,55218,GREMILLY,1778.0,33.0
344,70144,CHAUVIREY-LE-VIEIL,333.0,33.0
345,70496,TARTECOURT,224.0,33.0
346,55129,COUROUVRE,859.0,33.0
347,21279,FONTAINES-LES-SECHES,1365.0,33.0
348,2B078,CASTELLARE-DI-MERCURIO,614.0,33.0
349,71308,MONTCEAUX-RAGNY,253.0,33.0
350,11093,LE CLAT,1056.0,33.0
351,21147,CHARNY,784.0,33.0
352,70440,RECOLOGNE,113.0,33.0
353,08059,BELVAL-BOIS-DES-DAMES,1748.0,34.0
354,2A357,ZERUBIA,1353.0,34.0
355,19268,TOY-VIAM,1010.0,34.0
356,26378,VOLVENT,1668.0,34.0
357,11096,COMUS,1445.0,34.0
358,2B068,CARTICASI,1312.0,34.0
359,2B206,PENTA-ACQUATELLA,306.0,34.0
360,25329,LAVAL-LE-PRIEURE,539.0,34.0
361,51452,RAPSECOURT,732.0,34.0
362,55559,VILLEROY-SUR-MEHOLLE,645.0,34.0
363,88038,BATTEXEY,273.0,34.0
364,32431,SEREMPUY,335.0,34.0
365,62389,GRINCOURT-LES-PAS,283.0,34.0
366,21145,CHARIGNY,312.0,34.0
367,10235,MESNIL-LA-COMTESSE,95.0,34.0
368,51138,CHATRICES,1989.0,34.0
369,26199,MONTFERRAND-LA-FARE,1144.0,34.0
370,55127,COURCELLES-EN-BARROIS,717.0,34.0
371,70471,SAINTE-REINE,625.0,34.0
372,25610,VERRIERES-DU-GROSBOIS,792.0,34.0
373,82009,BALIGNAC,408.0,34.0
374,71226,GREVILLY,264.0,34.0
375,81282,SENAUX,476.0,34.0
376,21118,BUSSEROTTE-ET-MONTENAILLE,668.0,34.0
377,54233,GONDREXON,248.0,34.0
378,31348,MONCAUP,720.0,34.0
379,31498,SAINT-LOUP-EN-COMMINGES,476.0,34.0
380,38428,SAINT-MICHEL-EN-BEAUMONT,788.0,34.0
381,21039,AVELANGES,596.0,34.0
382,25513,SAINTE-ANNE,681.0,34.0
383,80666,REMAISNIL,299.0,34.0
384,2B003,AITI,1215.0,34.0
385,54529,TRAMONT-EMY,398.0,34.0
386,2A064,CARDO-TORGIA,393.0,34.0
387,39140,CHENE-SEC,88.0,34.0
388,11227,MAYRONNES,1221.0,34.0
389,52493,TORNAY,736.0,34.0
390,19167,CONFOLENT-PORT-DIEU,1077.0,34.0
391,52234,HACOURT,299.0,34.0
392,76274,LA FONTELAYE,398.0,35.0
393,34253,SAINT-FELIX-DE-L'HERAS,1266.0,35.0
394,11375,SEIGNALENS,639.0,35.0
395,26222,ORCINAS,542.0,35.0
396,30208,PUECHREDON,787.0,35.0
397,21262,FAVEROLLES-LES-LUCEY,1014.0,35.0
398,31369,MONT-DE-GALIE,239.0,35.0
399,70274,GRANDECOURT,333.0,35.0
400,88097,CHAUFFECOURT,187.0,35.0
401,39136,CHEMENOT,478.0,35.0
402,02507,MONTGRU-SAINT-HILAIRE,328.0,35.0
403,2B222,PIE-D'OREZZA,573.0,35.0
404,11440,VILLETRITOULS,482.0,35.0
405,07124,LAFARRE,1114.0,35.0
406,65162,ESCONNETS,231.0,35.0
407,11057,CAHUZAC,314.0,35.0
408,51341,MALMY,483.0,35.0
409,11114,CUMIES,405.0,35.0
410,55506,THILLOMBOIS,1312.0,35.0
411,39143,CHEVROTAINE,531.0,35.0
412,18071,CONTRES,1592.0,35.0
413,52344,MOUILLERON,525.0,35.0
414,09320,URS,89.0,35.0
415,21662,VELOGNY,405.0,36.0
416,90061,LAMADELEINE-VAL-DES-ANGES,643.0,36.0
417,07018,ASTET,3482.0,36.0
418,26363,VALOUSE,630.0,36.0
419,43176,SAINT-DIDIER-D'ALLIER,770.0,36.0
420,11020,AURIAC,2152.0,36.0
421,39239,LA FRASNEE,340.0,36.0
422,65229,ILHEU,205.0,36.0
423,52505,VAUDRECOURT,263.0,36.0
424,57034,ASPACH,413.0,36.0
425,65255,LANCON,285.0,36.0
426,70571,VISONCOURT,450.0,36.0
427,34303,SORBS,2037.0,36.0
428,11204,LIGNAIROLLES,752.0,36.0
429,09064,BOUAN,342.0,36.0
430,2B227,PIETRICAGGIO,532.0,36.0
431,55173,EPIEZ-SUR-MEUSE,812.0,36.0
432,71140,COLLONGE-LA-MADELEINE,532.0,36.0
433,70151,CHEVIGNEY,520.0,36.0
434,83105,RIBOUX,1354.0,36.0
435,21049,BARJON,459.0,36.0
436,11406,VERAZA,1513.0,36.0
437,11177,JOUCOU,676.0,36.0
438,21312,GURGY-LA-VILLE,1273.0,36.0
439,65458,UZ,247.0,36.0
440,08245,LANCON,829.0,36.0
441,26062,BRETTE,1552.0,36.0
442,84060,LAGARDE-D'APT,2232.0,36.0
443,39003,ABERGEMENT-LE-PETIT,161.0,36.0
444,89065,CERILLY,726.0,36.0
445,70231,FERRIERES-LES-RAY,399.0,36.0
446,65014,ANTICHAN,121.0,36.0
447,55128,COURCELLES-SUR-AIRE,1185.0,36.0
448,52489,THOL-LES-MILLIERES,691.0,36.0
449,54166,DOMMARTIN-LA-CHAUSSEE,275.0,37.0
450,89191,GLAND,1674.0,37.0
451,60697,VROCOURT,431.0,37.0
452,15132,MONTGRELEIX,1759.0,37.0
453,39380,NANCUISE,519.0,37.0
454,14189,COUPESARTE,455.0,37.0
455,11232,MIRAVAL-CABARDES,1256.0,37.0
456,65312,MOLERE,175.0,37.0
457,52437,ROUELLES,661.0,37.0
458,2B344,VERDESE,99.0,37.0
459,08215,HARRICOURT,800.0,37.0
460,51519,SAINT-THOMAS-EN-ARGONNE,441.0,37.0
461,65351,OUSTE,243.0,37.0
462,18277,VERNEUIL,1140.0,37.0
463,70032,ATTRICOURT,609.0,37.0
464,65336,ORGAN,272.0,37.0
465,18131,LUGNY-BOURBONNAIS,532.0,37.0
466,11133,FAJAC-EN-VAL,1405.0,37.0
467,50430,REIGNEVILLE-BOCAGE,231.0,37.0
468,52328,MONTCHARVOT,350.0,37.0
469,12009,ARNAC-SUR-DOURDOU,1661.0,37.0
470,25472,PUESSANS,354.0,37.0
471,03302,VEAUCE,355.0,37.0
472,65368,POUY,195.0,37.0
473,31125,CATHERVIELLE,364.0,37.0
474,31432,PORTET-DE-LUCHON,407.0,37.0
475,39132,LA CHAUX-EN-BRESSE,206.0,37.0
476,15105,LEYVAUX,1492.0,37.0
477,10257,MOREMBERT,250.0,37.0
478,25487,RENEDALE,285.0,37.0
479,21466,OIGNY,1481.0,37.0
480,52443,SAILLY,1245.0,37.0
481,10217,MAISON-DES-CHAMPS,435.0,37.0
482,21410,MEULSON,782.0,37.0
483,55038,BEAULIEU-EN-ARGONNE,2949.0,37.0
484,31312,MAILHOLAS,302.0,38.0
485,57737,VULMONT,307.0,38.0
486,38551,VILLARD-REYMOND,1094.0,38.0
487,09292,SENTENAC-DE-SEROU,1373.0,38.0
488,65109,BRAMEVAQUE,372.0,38.0
489,70396,ORICOURT,374.0,38.0
490,09037,BARJAC,276.0,38.0
491,61272,LE MENIL-VICOMTE,384.0,38.0
492,58018,AUTHIOU,735.0,38.0
493,11100,CORBIERES,877.0,38.0
494,10026,BAILLY-LE-FRANC,608.0,38.0
495,52463,SAUDRON,914.0,38.0
496,26371,VERONNE,2167.0,38.0
497,39532,THOISSIA,389.0,38.0
498,55210,GIMECOURT,1024.0,38.0
499,57763,ZOMMANGE,745.0,38.0
500,80197,CIZANCOURT,183.0,38.0
501,54424,PHLIN,372.0,38.0
502,68190,LUCELLE,1036.0,38.0
503,39586,ARESCHES,479.0,38.0
504,65480,VIZOS,261.0,38.0
505,65172,ESTENSAN,156.0,38.0
506,09237,LE PUCH,285.0,38.0
507,09096,CHATEAU-VERDUN,82.0,38.0
508,50636,VIERVILLE,416.0,38.0
509,55222,GUSSAINVILLE,1052.0,38.0
510,2B081,CASTIGLIONE,2321.0,38.0
511,11031,BELFORT-SUR-REBENTY,524.0,38.0
512,18068,COGNY,1699.0,39.0
513,43208,SAINTE-MARGUERITE,546.0,39.0
514,65297,MANSAN,210.0,39.0
515,67050,BLANCHERUPT,261.0,39.0
516,55295,LISLE-EN-BARROIS,2904.0,39.0
517,21129,CHAMBAIN,972.0,39.0
518,70450,LA ROCHELLE,427.0,39.0
519,84128,SIVERGUES,946.0,39.0
520,89422,TRICHEY,664.0,39.0
521,36132,LA MOTTE-FEUILLY,569.0,39.0
522,11365,SAINT-SERNIN,681.0,39.0
523,2B243,POLVEROSO,196.0,39.0
524,21091,BOUHEY,761.0,39.0
525,66083,FOSSE,442.0,39.0
526,52385,PERRUSSE,571.0,39.0
527,27143,CHAMPIGNOLLES,262.0,39.0
528,62708,RIENCOURT-LES-BAPAUME,340.0,39.0
529,39236,FRANCHEVILLE,148.0,39.0
530,50374,NEUVILLE-EN-BEAUMONT,167.0,39.0
531,57501,NEUFVILLAGE,63.0,39.0
532,58054,CHAMPLIN,792.0,39.0
533,39055,BILLECUL,432.0,39.0
534,09184,MAUVEZIN-DE-SAINTE-CROIX,533.0,39.0
535,52183,ECOT-LA-COMBE,2085.0,39.0
536,84110,SAINT-LEGER-DU-VENTOUX,1941.0,39.0
537,11247,MONTHAUT,704.0,39.0
538,24176,FAURILLES,436.0,40.0
539,09031,AXIAT,964.0,40.0
540,2B155,MATRA,657.0,40.0
541,05049,ESPARRON,2422.0,40.0
542,10072,LA CHAISE,872.0,40.0
543,52084,BUSSON,993.0,40.0
544,51489,SAINT-JEAN-DEVANT-POSSESSE,531.0,40.0
545,25373,LE MEMONT,312.0,40.0
546,2B171,MURACCIOLE,1424.0,40.0
547,89413,THOREY,697.0,40.0
548,55183,ETRAYE,811.0,40.0
549,02660,ROUVROY-SUR-SERRE,389.0,40.0
550,54443,RAON-LES-LEAU,135.0,40.0
551,09155,LARCAT,932.0,40.0
552,73072,CHAMP-LAURENT,497.0,40.0
553,08334,OMICOURT,747.0,40.0
554,70352,LA MONTAGNE,1249.0,40.0
555,21329,JUILLY,452.0,40.0
556,05150,SAINTE-MARIE,742.0,40.0
557,58206,PARIGNY-LA-ROSE,882.0,40.0
558,2A027,AZZANA,1199.0,40.0
559,65136,CAUBOUS,386.0,40.0
560,09178,MALEGOUDE,619.0,40.0
561,65391,SAINTE-MARIE,25.0,40.0
562,34195,PEGAIROLLES-DE-BUEGES,1324.0,40.0
563,55044,BELRAIN,829.0,40.0
564,26300,SAINT-DIZIER-EN-DIOIS,1390.0,40.0
565,39077,BRETENIERES,412.0,40.0
566,09335,VILLENEUVE,511.0,40.0
567,2B291,STAZZONA,136.0,40.0
568,70411,LA PISSEURE,225.0,40.0
569,09135,GOULIER,1034.0,40.0
570,52179,DOULEVANT-LE-PETIT,298.0,40.0
571,82071,GOAS,271.0,40.0
572,51377,MONTEPREUX,1537.0,40.0
573,21313,GURGY-LE-CHATEAU,1773.0,40.0
574,70070,BETONCOURT-SUR-MANCE,372.0,40.0
575,65214,HACHAN,187.0,40.0
576,30195,PEYROLLES,827.0,40.0
577,31067,BEZINS-GARRAUX,787.0,41.0
578,71203,FONTENAY,250.0,41.0
579,45143,FEINS-EN-GATINAIS,1180.0,41.0
580,08104,CHARDENY,499.0,41.0
581,80771,UGNY-L'EQUIPEE,295.0,41.0
582,43068,CHAZELLES,494.0,41.0
583,11250,MONTJOI,741.0,41.0
584,24024,BARDOU,486.0,41.0
585,11388,TERMES,1909.0,41.0
586,48167,SAINT-LAURENT-DE-VEYRES,915.0,41.0
587,05169,SORBIERS,1390.0,41.0
588,21119,BUSSIERES,639.0,41.0
589,11186,LAIRIERE,1352.0,41.0
590,65325,MOUMOULOUS,339.0,41.0
591,02278,EPARCY,755.0,41.0
592,10266,NOGENT-EN-OTHE,912.0,41.0
593,11039,LA BEZOLE,669.0,41.0
594,04228,VALAVOIRE,1677.0,41.0
595,50353,LE MONT-SAINT-MICHEL,399.0,41.0
